"Rangos" "Too_cheap" "Cheap" "Expensive" "Too_expensive"
0 1 1 0 0
1e+06 1 1 0 0
2e+06 0,844036697247706 1 0 0
3e+06 0,761467889908257 1 0 0
4e+06 0,440366972477064 0,990825688073395 0 0
5e+06 0,293577981651376 0,935779816513762 0 0,00917431192660551
6e+06 0,073394495412844 0,770642201834862 0,0275229357798165 0,00917431192660551
7e+06 0 0,155963302752294 0,128440366972477 0,018348623853211
8e+06 0 0,0825688073394495 0,220183486238532 0,0642201834862385
9e+06 0 0,0275229357798165 0,798165137614679 0,110091743119266
1e+07 0 0 0,798165137614679 0,174311926605505
1,1e+07 0 0 0,871559633027523 0,192660550458716
1,2e+07 0 0 0,990825688073395 0,247706422018349
1,3e+07 0 0 1 0,844036697247706
1,4e+07 0 0 1 0,944954128440367
1,5e+07 0 0 1 1
